50	50	0	0	0	3.125	0	0	0	0	0	0	46.875	50
46.875	56.25	43.75	53.125	53.125	56.25	46.875	53.125	50	43.75	43.75	53.125	46.875	50
62.5	46.875	0	0	56.25	0	0	0	0	0	0	0	59.375	53.125
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.5	59.375	43.75	0	46.875	50	50	50	53.125	53.125	50	50	43.75	50
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
53.125	50	40.625	50	53.125	46.875	40.625	50	46.875	53.125	0	50	50	53.125
68.75	46.875	0	0	0	0	0	0	0	0	0	0	50	43.75
50	59.375	0	3.125	3.125	0	0	0	0	0	0	0	53.125	43.75
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50	59.375	50	46.875	56.25	46.875	46.875	53.125	53.125	56.25	53.125	53.125	50	53.125
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
37.5	46.875	46.875	50	46.875	40.625	50	50	46.875	56.25	50	50	46.875	53.125
56.25	50	0	0	0	0	0	0	0	0	3.125	0	56.25	50
0	43.75	0	0	0	0	0	0	0	0	0	0	46.875	46.875
9.375	3.125	46.875	56.25	43.75	3.125	50	53.125	46.875	53.125	46.875	62.5	71.875	50
59.375	53.125	0	0	3.125	0	0	0	6.25	0	0	0	68.75	59.375
62.5	46.875	37.5	53.125	0	56.25	50	50	43.75	46.875	50	34.375	40.625	46.875
46.875	53.125	37.5	50	46.875	46.875	46.875	56.25	43.75	46.875	53.125	50	46.875	53.125
40.625	59.375	50	46.875	46.875	40.625	56.25	46.875	43.75	56.25	43.75	53.125	53.125	59.375
65.625	53.125	0	0	0	0	0	0	0	0	0	0	53.125	68.75
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
0	3.125	0	0	0	0	0	0	0	0	0	0	0	0
40.625	53.125	0	3.125	0	0	0	0	0	0	0	0	53.125	62.5
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
50	53.125	3.125	3.125	6.25	0	0	21.875	0	6.25	28.125	12.5	59.375	43.75
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
