6	8	15	21
6	13	90	94
6	14	90	94
7	13	90	94
8	14	90	94
9	1	90	95
9	2	90	95
12	6	15	21
14	8	15	21
15	9	15	21
25	9	15	21
26	3	197	84
28	12	15	21
30	4	15	21
33	10	15	21
36	9	15	21
40	3	15	21
41	7	NaN	NaN
42	3	NaN	NaN
100	8	NaN	NaN
116	5	15	21
116	6	15	21
116	7	15	21
116	8	15	21
116	9	15	21
116	11	15	21
116	12	15	21
138	4	15	21
142	6	15	21
118	5	NaN	NaN
9	5	15	21
9	6	15	21
9	7	15	21
9	8	15	21
9	9	15	21
9	10	15	21
9	11	15	21
43	4	15	21
43	7	15	21
43	9	15	21
43	10	15	21
51	8	15	21
51	9	15	21
51	11	15	21
51	12	15	21
9	14	91	95
36	4	15	21
36	5	15	21
36	6	15	21
36	7	15	21
36	8	15	21
36	10	15	21
36	11	15	21
36	12	15	21
38	3	15	21
47	3	15	21
76	3	15	21
80	3	15	21
82	7	15	21
